Номер БС,Адрес,Операторы 800 МГц,Операторы 1800 МГц,Операторы 2600 МГц,Широта,Долгота
310729,д. Новая Бухаловка,"M, V, L",,,52.287083333,30.968888889
310730,"г. Василевичи, ул. Козлова, 12","M, V, L",,,52.252361111,29.827333333
310732,д. Веселовка,"M, V, L",,,52.1265,31.728138889
310733,вблизи д. Ветельская,"M, V, L",,,52.211083333,29.017777778
310735,"г. Ветка, ул. Громыко А.А., 33","M, V, L","M, V, L",,52.558416667,31.174027778
310736,вблизи п. Веточка,"M, V, L",,,52.950416667,30.270444444
310737,вблизи агрогордок Волосовичи,"M, V, L",,,52.529972222,29.110777778
310738,н.п. Волчья Гора,"M, V, L",,,52.298222222,30.354111111
310739,"н.п. Перетрутовский Воротын, ул. А.Т. Шпака, 2г","M, V, L",,,52.354527778,29.009805556
310742,д. Глинная Слобода,"M, V, L",,,52.16375,29.72958333
310743,"агрогордок Глушковичи, ул. Советская, д. 173А","M, V, L",,,51.553638889,27.786583333
310744,"агрогордок Горочичи, в районе ул. Заречная","M, V, L",,,52.25455556,29.44141667
310745,вблизи д. Гулевичи,"M, V, L",,,52.08125,29.366805556
310746,д. Дедовка,"M, V, L",,,52.239658333,27.652730556
310748,д. Дербичи,"M, V, L",,,52.896305556,30.661222222
310750,"г. Добруш, пр-т Мира, 17","M, V, L",,,52.424229818,31.311817611
310751,"г. Добруш, ул. Лесная, 8","M, V, L",,,52.400638889,31.338083333
310752,"агрогордок Довск, ул. Рогачевская, 42А","M, V, L",,,53.152666667,30.442944444
310753,"агрогордок Дудичи, ул. Юбилейная, 12","M, V, L",,,52.178666667,29.345055556
310754,вблизи агрогордок Дуравичи,"M, V, L",,,52.703361111,30.723694444
310755,"г. Ельск, ул. Ленинская, 6","M, V, L",,,51.803194444,29.153222222
310758,"д. Жгуно-Буда,","M, V, L",,,52.353888889,31.252416667
310759,"г. Житковичи, ул. К. Маркса, 23","M, V, L",,,52.217472222,27.860638889
310761,"г.Жлобин, ул. Ленинградская, 7а",,"M, V, L",,52.90288793,30.01087977
310764,"г. Жлобин, ул. Шоссейная, 133","V, L",,,52.865944444,30.012138889
310766,"г.Жлобин, ул. Промышленная, 37",,"M, V, L",,52.85325,29.99461112
310767,"г.Жлобин, ул. Первомайская, 76",,"M, V, L",,52.89355381,30.03240335
310769,"г.Жлобин, 16-й Микрорайон",,"M, V, L",,52.90212144,30.04760723
310770,"г.Жлобин, ул. Поплавская, 3б",,"M, V, L",,52.89601517,30.04340127
310771,"г.Жлобин, ул. К. Маркса, 3/1","V, L","M, V, L",,52.90936944,30.05073334
310773,"г.Жлобин, Мкр-н Ветка-Вирский","V, L","M, V, L",,52.88044378,30.09089069
310774,"г.Жлобин, 3-й Микрорайон, 3","V, L","M, V, L",,52.88303718,30.03501384
310775,"г.Жлобин, ул. Чапаева, 54",,"M, V, L",,52.88990278,30.0489139
310778,д. Забродье,"M, V, L",,,52.259472222,27.837222222
310781,"д. Замошье, пер. Садовый, д. 18Б","M, V, L",,,51.980277778,28.404
310782,вблизи агрогордка Заречье,"M, V, L",,,53.206194444,30.059111111
310783,"г.п. Заречье, ул. Спортивная, 33","M, V, L",,,52.431333333,30.077944444
310784,н.п. Заходы,"V, L",,,52.43860519,29.9055854
310786,"Защёбьевский с/с, 9","M, V, L",,,52.15767665,29.90600328
310787,"п. Звонец, ул. Ленинградская, 33","M, V, L",,,53.236694444,30.431638889
310788,агрогордок Иговка,"M, V, L",,,52.351611111,31.422194444
310789,"Улуковский с/с, 21","M, V, L",,,52.451222222,31.076694444
310790,"г. Калинковичи, ул. Суркова, 10Б","M, V, L",,,52.13952778,29.35027778
310792,"г. Калинковичи, ул. Мира, 1","M, V, L",,,52.126403522,29.336873814
